global_trial_id,study,source_run,model_family,model,word,condition,frame_id,hand_code,bc_v3_code,qq_v3_1_code,v4_code
bestiary_sonnet_pilot::00064::f61f4ee1bc91,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,garnawkinsuth,real_idea,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00094::256007848dd8,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::00127::5d849896d2b4,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00155::cfadd28d6dfd,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::00162::82711cd3f0de,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,type_of_idea,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00194::bb841190fa43,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,halthibinny,real_idea,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00211::7009c93c76d9,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,neutral,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00234::6b06d7a6d093,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00239::6299e8cb3a91,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_idea,,HYBRID,DESCRIBE,HYBRID,DESCRIBE
bestiary_sonnet_pilot::00252::4579dd7814e4,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00271::5e4e9bf6efdd,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00276::e9ef8c11991e,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00305::e8bd064c1408,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,garnawkinsuth,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00320::00bc56cf9b42,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,real_animal,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00390::f4c594a04484,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00391::db11b4d45b97,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,imaginary_object,,HYBRID,HYBRID,OTHER,HYBRID
bestiary_sonnet_pilot::00392::952eaaa39f0c,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00448::14470368129e,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,type_of_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00502::f08bdb22d73d,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::00508::f3241d6123ef,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::00529::ce0db91ce5c2,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00556::79ddfed66cc9,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00566::56240a91050b,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::00583::213fddeb362f,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00673::e1b7b5cca10f,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00681::307be4598bea,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::00707::2ef06579cfa7,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00708::cae6213898de,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00731::727bce54bb4b,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00755::8035fa1f992e,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,real_idea,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00786::8bb36c1c6ea0,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00822::39a50b456035,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::00835::e4356d7d471a,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00916::5b743f76e451,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::00932::5d074a87dd50,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,purtaneolotomous,real_idea,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00935::ca09e520a2a7,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::00949::305c36841695,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01030::eb039d45088f,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,halthibinny,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::01071::38f58090d931,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,purtaneolotomous,imaginary_object,,HYBRID,HYBRID,DEFLECT,HYBRID
bestiary_sonnet_pilot::01073::869071186471,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::01115::7f9922e9eceb,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::01135::6e0573e480ba,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01153::9d4e3cbf1295,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01196::bcb914578414,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01204::bb20fa514bc5,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,imaginary_animal,,DESCRIBE,DESCRIBE,OTHER,DESCRIBE
bestiary_sonnet_pilot::01217::f5bc23971449,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01263::e8cf701ff46c,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::01275::40c39f9a5cb2,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01299::9c070734bc11,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,type_of_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01322::02e212ad4bce,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wresanthamulf,imaginary_idea,,DEFLECT,HYBRID,DEFLECT,HYBRID
bestiary_sonnet_pilot::01336::f4d2e74179a0,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01341::d05ecb7d4510,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::01439::4b531605dd3d,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,real_object,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01474::33aacd506d31,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01508::105b6541e842,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01543::cc97b75221c9,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_object,,HYBRID,HYBRID,OTHER,HYBRID
bestiary_sonnet_pilot::01549::3181ced28a37,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_pilot::01554::8f47df8b5f48,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,halthibinny,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::01597::88cffae6128f,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::01608::ccbc1e80b5a0,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,real_idea,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01651::dfd227320f13,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,kinachitalpo,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01711::f9624e77f127,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_pilot::01725::86828fc5ff01,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,wertychiops,neutral,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01750::75290cd0fb6b,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,halthibinny,imaginary_object,,HYBRID,HYBRID,OTHER,HYBRID
bestiary_sonnet_pilot::01765::75643b94d83a,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,zlippparnsie,real_object,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_pilot::01788::9feaa49b6e66,Bestiary,bestiary_sonnet_pilot,Claude,claude-sonnet-4-6,manteoshipuft,imaginary_object,,HYBRID,HYBRID,DEFLECT,HYBRID
bestiary_sonnet_retest::00015::2315e188aed3,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,wresanthamulf,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_retest::00031::95d4951468d3,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,borthorpunius,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00034::d2a29a9506d7,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,real_animal,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_retest::00078::9d034f0f6ec3,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,purtaneolotomous,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_retest::00092::d558c53a2b0a,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00129::50de0357e507,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00138::388f1d3f3a8f,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00146::f23e9410e567,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,kovashent,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00158::516f19500292,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_object,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00161::8f0def5a9b41,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,wresanthamulf,imaginary_object,,HYBRID,HYBRID,DEFLECT,HYBRID
bestiary_sonnet_retest::00173::0b8fed78cd5c,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,purtaneolotomous,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00177::840a92b915ea,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00179::2f4ebb07754b,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,imaginary_object,,DESCRIBE,DESCRIBE,OTHER,DESCRIBE
bestiary_sonnet_retest::00183::75d75552d74e,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00186::311b97ee1be8,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,imaginary_idea,,HYBRID,HYBRID,DEFLECT,HYBRID
bestiary_sonnet_retest::00196::cde97eec160c,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,plindorf,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00230::2cac4a08aa25,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,borthorpunius,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00285::0e329ce46c57,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_animal,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_retest::00312::413244aa9065,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00316::d6c53fcda9d8,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_retest::00336::b53ab6960b06,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,plindorf,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00356::7bdada5dc7c2,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,halthibinny,real_animal,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00391::aed423cc5198,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
bestiary_sonnet_retest::00454::f8735abacfc7,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_object,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00462::77d618d665d5,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,wresanthamulf,real_idea,,DEFLECT,DESCRIBE,DEFLECT,DEFLECT
bestiary_sonnet_retest::00528::dcd64b3ade15,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,flembrast,real_idea,,DEFLECT,DEFLECT,DEFLECT,DEFLECT
bestiary_sonnet_retest::00540::ca21e6a3dab1,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,borthorpunius,imaginary_animal,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00606::fd975e74e814,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,trolnique,imaginary_object,,DESCRIBE,DESCRIBE,DESCRIBE,DESCRIBE
bestiary_sonnet_retest::00627::b68e07b2621f,Bestiary,bestiary_sonnet_retest,Claude,claude-sonnet-4-6,borthorpunius,imaginary_idea,,HYBRID,HYBRID,HYBRID,HYBRID
