global_trial_id,study,source_run,source_row,word,word_author,word_set,status,reality,category,condition,frame_id,frame_name,speech_act,person,model,model_family,model_tier,prev_pass1_code,prev_adjudicated_code,prev_in_master_600,v4_code,feat_n_words,feat_n_chars,feat_has_fiction_flag,feat_has_non_recog,feat_has_offer,feat_has_honesty,feat_has_substitute,feat_has_speculation,feat_has_desc_signal,feat_has_naturalist_demo,feat_bullets,feat_headers,feat_blockquote,feat_bracketed_placeholder
bestiary_sonnet_pilot::00001::5a1fe3a7197e,Bestiary,bestiary_sonnet_pilot,1,zlippparnsie,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,102,567,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00002::710e741d9357,Bestiary,bestiary_sonnet_pilot,2,zlippparnsie,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,78,423,0,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00003::88c5a7deae97,Bestiary,bestiary_sonnet_pilot,3,halthibinny,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,95,557,0,1,1,1,0,0,0,0,2,0,0,0
bestiary_sonnet_pilot::00004::34d0af592b2d,Bestiary,bestiary_sonnet_pilot,4,purtaneolotomous,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,92,556,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00005::802385dacb7e,Bestiary,bestiary_sonnet_pilot,5,zlippparnsie,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,115,604,1,1,1,1,0,1,1,0,0,0,0,0
bestiary_sonnet_pilot::00006::4c16d4d718bc,Bestiary,bestiary_sonnet_pilot,6,halthibinny,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,142,771,1,1,1,0,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00007::2730468b224d,Bestiary,bestiary_sonnet_pilot,7,manteoshipuft,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,101,563,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00008::8517672ce35e,Bestiary,bestiary_sonnet_pilot,8,zlippparnsie,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,156,864,1,0,1,1,0,0,1,0,3,1,0,0
bestiary_sonnet_pilot::00009::2f6793576cb8,Bestiary,bestiary_sonnet_pilot,9,garnawkinsuth,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,143,771,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00010::e40fa36b57b0,Bestiary,bestiary_sonnet_pilot,10,halthibinny,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,206,1274,0,0,0,0,0,0,1,0,0,1,0,0
bestiary_sonnet_pilot::00011::da02b5b01e9d,Bestiary,bestiary_sonnet_pilot,11,garnawkinsuth,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,142,812,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00012::079f61232b1f,Bestiary,bestiary_sonnet_pilot,12,manteoshipuft,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,86,491,1,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00013::afadb4801aca,Bestiary,bestiary_sonnet_pilot,13,wresanthamulf,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,95,561,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00014::30ccdf07f031,Bestiary,bestiary_sonnet_pilot,14,purtaneolotomous,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,91,523,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00015::51414f2817c2,Bestiary,bestiary_sonnet_pilot,15,purtaneolotomous,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,194,1252,1,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00016::a59b120dc27d,Bestiary,bestiary_sonnet_pilot,16,wertychiops,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,121,669,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00017::b062ca4ff225,Bestiary,bestiary_sonnet_pilot,17,manteoshipuft,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,104,599,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00018::d34a22f79f4a,Bestiary,bestiary_sonnet_pilot,18,halthibinny,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,211,1320,1,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00019::08e8e1087b62,Bestiary,bestiary_sonnet_pilot,19,kinachitalpo,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,145,782,1,1,1,0,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00020::495b0155fc33,Bestiary,bestiary_sonnet_pilot,20,manteoshipuft,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,88,515,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00021::381108ed7221,Bestiary,bestiary_sonnet_pilot,21,manteoshipuft,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,206,1280,1,0,0,0,0,0,1,0,0,0,0,0
bestiary_sonnet_pilot::00022::38263ff61cc3,Bestiary,bestiary_sonnet_pilot,22,borthorpunius,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,89,489,0,1,1,1,0,0,0,0,0,0,0,0
bestiary_sonnet_pilot::00023::e013c931599e,Bestiary,bestiary_sonnet_pilot,23,kinachitalpo,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,110,630,1,1,0,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00024::bd7142ed4f10,Bestiary,bestiary_sonnet_pilot,24,borthorpunius,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,98,555,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00025::48e5b6449b22,Bestiary,bestiary_sonnet_pilot,25,garnawkinsuth,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,155,844,0,1,1,1,0,1,1,0,6,0,0,0
bestiary_sonnet_pilot::00026::41cd6b4d4145,Bestiary,bestiary_sonnet_pilot,26,zlippparnsie,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,162,885,1,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00027::8f177c1c7f5a,Bestiary,bestiary_sonnet_pilot,27,borthorpunius,,original,real,real,animal,real_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,103,567,1,1,1,1,0,0,0,0,0,0,0,0
bestiary_sonnet_pilot::00028::b27de979d0f0,Bestiary,bestiary_sonnet_pilot,28,purtaneolotomous,,original,type,type of,object,type_of_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,86,508,0,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00029::b8d48c5a2732,Bestiary,bestiary_sonnet_pilot,29,kinachitalpo,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,154,824,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00030::ef0e8b4ef938,Bestiary,bestiary_sonnet_pilot,30,wresanthamulf,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,156,835,1,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00031::b9fcf0513948,Bestiary,bestiary_sonnet_pilot,31,wertychiops,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,198,1280,1,1,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00032::a6b1159bcaed,Bestiary,bestiary_sonnet_pilot,32,halthibinny,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,197,1286,0,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00033::b7d09c8da755,Bestiary,bestiary_sonnet_pilot,33,garnawkinsuth,,original,neutral,,,neutral,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,85,484,0,1,1,0,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00034::22806627c1f4,Bestiary,bestiary_sonnet_pilot,34,wertychiops,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,102,593,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00035::e7355a398064,Bestiary,bestiary_sonnet_pilot,35,garnawkinsuth,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,230,1358,0,0,0,0,0,0,1,0,0,0,0,0
bestiary_sonnet_pilot::00036::ef3f84a32b55,Bestiary,bestiary_sonnet_pilot,36,kinachitalpo,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,111,632,0,1,1,0,0,0,0,0,6,0,0,0
bestiary_sonnet_pilot::00037::b4f979bc1d0c,Bestiary,bestiary_sonnet_pilot,37,kinachitalpo,,original,type,type of,animal,type_of_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,100,593,0,1,1,0,0,0,0,0,4,0,0,0
bestiary_sonnet_pilot::00038::a0ec2076b934,Bestiary,bestiary_sonnet_pilot,38,garnawkinsuth,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,98,549,0,1,0,1,0,0,0,0,2,0,0,0
bestiary_sonnet_pilot::00039::8e3211b5922a,Bestiary,bestiary_sonnet_pilot,39,halthibinny,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,224,1415,0,0,0,0,0,0,1,0,0,4,0,0
bestiary_sonnet_pilot::00040::d75d7f74021c,Bestiary,bestiary_sonnet_pilot,40,garnawkinsuth,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,121,620,1,1,1,0,0,1,0,0,0,1,0,0
bestiary_sonnet_pilot::00041::3dad176e06f5,Bestiary,bestiary_sonnet_pilot,41,halthibinny,,original,imaginary,imaginary,object,imaginary_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,214,1292,1,0,0,0,0,0,1,0,0,0,0,0
bestiary_sonnet_pilot::00042::6dc386cc9747,Bestiary,bestiary_sonnet_pilot,42,manteoshipuft,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,107,629,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00043::b08ad9737e4e,Bestiary,bestiary_sonnet_pilot,43,borthorpunius,,original,real,real,object,real_object,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,81,483,0,1,1,1,0,0,0,0,0,0,0,0
bestiary_sonnet_pilot::00044::4f084d13b1df,Bestiary,bestiary_sonnet_pilot,44,manteoshipuft,,original,imaginary,imaginary,idea,imaginary_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,128,717,1,1,1,1,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00045::27a612bb23be,Bestiary,bestiary_sonnet_pilot,45,manteoshipuft,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,HYBRID,203,1285,1,0,0,0,0,0,1,0,0,5,0,0
bestiary_sonnet_pilot::00046::ee75ba870868,Bestiary,bestiary_sonnet_pilot,46,halthibinny,,original,real,real,idea,real_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,113,647,0,1,1,1,0,1,0,0,3,0,0,0
bestiary_sonnet_pilot::00047::44ae8d9d7f45,Bestiary,bestiary_sonnet_pilot,47,borthorpunius,,original,type,type of,idea,type_of_idea,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DEFLECT,149,844,0,1,1,0,0,0,0,0,3,0,0,0
bestiary_sonnet_pilot::00048::fd84a2537c51,Bestiary,bestiary_sonnet_pilot,48,garnawkinsuth,,original,imaginary,imaginary,animal,imaginary_animal,,,,,claude-sonnet-4-6,Claude,sonnet,,,,DESCRIBE,224,1350,0,1,0,0,0,0,1,0,0,0,0,0
